"","SampleDate","StationCode","CHLa_C","CHLa_UnC","CHL","SALT","WTEM"
"129",2023-09-11 10:03:00,"GTMGL2NUT",38,39,6.36,4.04,28.7
"130",2023-09-11 11:43:00,"GTMMKNUT",53,59,14.44,0.56,27.9
"131",2023-11-09 07:07:00,"GTMGRNUT",1.25,1.25,0.89,26.37,19.8
"132",2023-11-09 07:33:00,"GTMRNNUT",10,12,4.37,19.12,19.9
"133",2023-11-09 08:33:00,"GTMLSNUT",15,15,3.61,18.4,19.9
"134",2023-11-09 08:55:00,"GTMLMNUT",21,25,7.07,12.87,20.4
"135",2023-11-09 10:42:00,"GTMMKNUT",41,43,8.23,0.42,19.3
"136",2023-12-11 09:00:00,"GTMGRNUT",4,3.8,0.92,26.54,17.3
"137",2023-12-11 09:18:00,"GTMRNNUT",5.6,7.4,1.54,21.89,17.8
"138",2023-12-11 09:55:00,"GTMLSNUT",13,14,2.5,15.48,14.9
"139",2023-12-11 10:25:00,"GTMLMNUT",16,17,3.1,11.84,16.1
"140",2023-12-11 11:26:00,"GTMGL2NUT",63,68,6.56,1.53,16.7
"141",2023-12-11 13:42:00,"GTMMKNUT",23,27,5.8,0.36,17.3
"142",2024-01-11 09:45:00,"GTMGRNUT",1.25,1.25,0.96,23.37,14.4
"143",2024-01-11 10:10:00,"GTMRNNUT",8.8,9.5,2.76,14.97,13.1
"144",2024-01-11 10:53:00,"GTMLSNUT",19,19,2.6,11.62,12.9
"145",2024-01-11 11:33:00,"GTMLMNUT",30,30,5.1,7,13.4
"146",2024-01-11 11:55:00,"GTMGL2NUT",41,46,8.41,2.37,12.8
"147",2024-01-11 13:36:00,"GTMMKNUT",20,21,4.2,0.33,13.5
"148",2024-02-07 08:35:00,"GTMGRNUT",4,4.6,1.18,27.5,13.2
"149",2024-02-07 09:00:00,"GTMRNNUT",3.2,3.8,0.85,24.42,12.7
"150",2024-02-07 10:07:00,"GTMLSNUT",18,19,2.63,15.2,12.1
"151",2024-02-07 10:38:00,"GTMLMNUT",42,42,7.53,7.93,11.3
"152",2024-02-07 10:55:00,"GTMGL2NUT",66,66,8.95,4.69,10.7
"153",2024-02-07 13:32:00,"GTMMKNUT",19,22,5.19,0.38,12.7
"154",2024-03-08 08:02:00,"GTMGRNUT",8,8.4,2.07,25.65,19.5
"155",2024-03-08 08:26:00,"GTMRNNUT",9.6,9.8,2.71,19.66,20.9
"156",2024-03-08 09:24:00,"GTMLSNUT",14,15,3.53,18.55,21.3
"157",2024-03-08 09:47:00,"GTMLMNUT",57,59,16.89,4.19,20.6
"158",2024-03-08 12:30:00,"GTMMKNUT",62,66,15.9,0.38,22.3
"159",2024-04-08 10:00:00,"GTMGRNUT",6,6.6,1.66,29.48,19.6
"160",2024-04-08 10:20:00,"GTMRNNUT",14,14,3.14,20.29,19.9
"161",2024-04-08 11:07:00,"GTMLSNUT",21,21,4.35,21.09,20.5
"162",2024-04-08 11:30:00,"GTMLMNUT",67,71,19.09,4.05,20.4
"163",2024-04-08 11:50:00,"GTMGL2NUT",38,41,5.97,0.87,20.7
"164",2024-04-08 13:35:00,"GTMMKNUT",27,30,11.35,0.37,22.2
"165",2024-05-06 09:00:00,"GTMGRNUT",4,3.1,2.14,35.27,25.7
"166",2024-05-06 09:23:00,"GTMRNNUT",11,13,6.15,33.25,26
"167",2024-05-06 10:12:00,"GTMLSNUT",23,24,6,33.2,27
"168",2024-05-06 10:36:00,"GTMLMNUT",18,22,15.49,22.76,26.5
"169",2024-05-06 10:53:00,"GTMGL2NUT",20,21,9.91,15.04,26.6
"170",2024-05-06 13:34:00,"GTMMKNUT",28,31,15.51,0.48,28.8
"171",2024-06-03 07:34:00,"GTMGRNUT",3,5.5,1.57,37.2,26.1
"172",2024-06-03 07:53:00,"GTMRNNUT",8,10,3.42,36.6,24.5
"173",2024-06-03 08:52:00,"GTMLSNUT",7.2,8.9,2.65,35.65,25.3
"174",2024-06-03 09:20:00,"GTMLMNUT",9.6,11,4.13,29.36,24.7
"175",2024-06-03 11:50:00,"GTMMKNUT",29,35,8.83,0.4,25.7
"176",2024-07-17 07:06:00,"GTMGRNUT",7,9.8,2.65,36.56,29.9
"177",2024-07-17 07:24:00,"GTMRNNUT",15,18,8.91,37.22,29.4
"178",2024-07-17 08:37:00,"GTMLSNUT",15,18,7.4,38.86,30.3
"179",2024-07-17 09:05:00,"GTMLMNUT",4,5.1,4.57,37.12,29.8
"180",2024-07-17 09:23:00,"GTMGL2NUT",58,73,6.93,28.54,29.1
"181",2024-07-17 11:30:00,"GTMMKNUT",200,220,56.1,6.1,28.7
"182",2024-08-01 07:50:00,"GTMGRNUT",6,6.8,2.65,35.44,29.6
"183",2024-08-01 08:20:00,"GTMRNNUT",8,9.6,4.45,36.5,30.2
"184",2024-08-01 09:18:00,"GTMLSNUT",18,19,9.81,38.94,31.2
"185",2024-08-01 09:50:00,"GTMLMNUT",13,14,3.89,37.1,30.5
"186",2024-08-01 10:09:00,"GTMGL2NUT",42,47,16.51,25.84,30.2
"187",2024-08-01 12:21:00,"GTMMKNUT",32,36,9.74,0.63,31.2
"188",2024-09-16 08:40:00,"GTMGRNUT",5,3.9,2.57,16.01,26.5
"189",2024-09-16 09:05:00,"GTMRNNUT",14,15,4.07,14.99,26.5
"190",2024-09-16 10:32:00,"GTMLSNUT",17,19,4.45,15.39,26.6
"191",2024-09-16 11:09:00,"GTMLMNUT",33,59,14,8.34,25.8
"192",2024-09-16 11:33:00,"GTMGL2NUT",20,25,10.55,0.83,25.6
"193",2024-09-16 13:24:00,"GTMMKNUT",22,29,5.61,0.34,26.4
"194",2024-10-02 09:59:00,"GTMGRNUT",4,4.8,2.04,22.73,28.1
"195",2024-10-02 10:24:00,"GTMRNNUT",4,4.8,4.66,18.7,28.4
"196",2024-10-02 10:48:00,"GTMLSNUT",11,12,5.47,16.89,28.4
"197",2024-10-02 11:15:00,"GTMLMNUT",16,23,10.71,5.08,28.4
"198",2024-10-02 11:31:00,"GTMGL2NUT",20,26,9.44,2.88,28.6
"199",2024-10-02 12:57:00,"GTMMKNUT",18,20,7.95,0.53,28.8
"200",2024-11-14 08:23:00,"GTMGRNUT",1.25,1.25,1.23,28.61,23.5
"201",2024-11-14 08:49:00,"GTMRNNUT",1.25,1.25,1.75,22.54,22.8
"202",2024-11-14 09:18:00,"GTMLSNUT",1.25,3.2,2.65,21.11,22.7
"203",2024-11-14 09:57:00,"GTMLMNUT",9.2,12,3.45,11.6,22
"204",2024-11-14 10:22:00,"GTMGL2NUT",27,30,14.1,6.78,21.6
"205",2024-11-14 12:50:00,"GTMMKNUT",23,26,11.55,1.43,22.9
"206",2024-12-02 10:05:00,"GTMGRNUT",3,3.6,1.43,27.74,16
"207",2024-12-02 10:36:00,"GTMRNNUT",4.8,5.5,1.64,22.42,14.1
"208",2024-12-02 10:58:00,"GTMLSNUT",4.8,6.6,1.87,16.47,12.7
"209",2024-12-02 13:01:00,"GTMMKNUT",8.8,11,3.61,0.78,13.5
